# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_bidirectional_gene_fusion	variants_effect_downstream_gene_variant	variants_effect_exon_loss_variant	variants_effect_frameshift_variant	variants_effect_gene_fusion	variants_effect_intron_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_transcript_ablation	variants_effect_upstream_gene_variant
AC051649.1	ENSG00000252187	ENST00000516378	miRNA	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
AP005273.1	ENSG00000232500	ENST00000444862	lincRNA	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
BDNF-AS	ENSG00000245573	ENST00000499008	antisense	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
BDNF-AS	ENSG00000245573	ENST00000499568	antisense	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
BDNF-AS	ENSG00000245573	ENST00000500662	antisense	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
BDNF-AS	ENSG00000245573	ENST00000501176	antisense	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
BDNF-AS	ENSG00000245573	ENST00000502161	antisense	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
BDNF-AS	ENSG00000245573	ENST00000530313	antisense	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
BDNF-AS	ENSG00000245573	ENST00000530686	antisense	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
BDNF-AS	ENSG00000245573	ENST00000532965	antisense	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
BET1L	ENSG00000177951	ENST00000410108	protein_coding	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
C11orf49	ENSG00000149179	ENST00000278460	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
C11orf49	ENSG00000149179	ENST00000378615	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
C11orf49	ENSG00000149179	ENST00000378618	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
C11orf49	ENSG00000149179	ENST00000395460	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
C11orf49	ENSG00000149179	ENST00000522712	retained_intron	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
C11orf49	ENSG00000149179	ENST00000525279	nonsense_mediated_decay	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
C11orf49	ENSG00000149179	ENST00000525895	nonsense_mediated_decay	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
C11orf49	ENSG00000149179	ENST00000526424	nonsense_mediated_decay	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
